NaN,33.446,NaN,NaN,NaN,33.135,NaN,31.886,NaN,32.028,NaN,NaN,32.157,32.438,32.424,NaN,32.412,NaN,NaN,NaN,32.201,NaN,32.697,NaN,NaN,NaN,NaN,31.717,NaN,32.07,NaN,33.462,NaN,31.476,NaN,33.25,NaN,NaN,33.516,33.362,NaN,NaN,33.339,31.958,33.96,NaN,NaN,33.89,NaN,NaN,NaN,NaN,NaN,NaN,33.671,NaN,33.92,33.65,NaN,NaN,NaN,NaN,33.748,33.146,NaN,NaN,NaN
NaN,33.707,NaN,NaN,NaN,32.802,NaN,31.576,NaN,32.524,NaN,NaN,32.67,32.615,32.405,NaN,32.7,NaN,NaN,NaN,32.776,NaN,32.765,NaN,NaN,NaN,33.549,33.369,31.899,31.929,NaN,33.903,32.063,31.915,NaN,33.398,33.385,33.92,33.908,NaN,NaN,NaN,32.957,32.48,NaN,NaN,NaN,NaN,NaN,NaN,33.456,NaN,NaN,NaN,34.207,NaN,33.955,34.519,NaN,NaN,NaN,NaN,33.757,34.067,NaN,NaN,33.718
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,33.082,NaN,NaN,NaN,33.064,NaN,32.301,NaN,32.411,NaN,32.48,32.57,32.504,32.731,NaN,32.557,NaN,NaN,NaN,32.847,NaN,32.644,NaN,NaN,NaN,NaN,32.673,32.497,32.539,NaN,33.57,NaN,31.468,NaN,33.374,33.642,33.581,33.71,NaN,NaN,NaN,33.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.797,33.672,NaN,NaN,NaN,NaN,33.662,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,33.922,NaN,32.453,32.061,NaN,NaN,32.319,NaN,32.268,NaN,NaN,32.535,33.579,NaN,NaN,32.856,NaN,NaN,NaN,32.701,NaN,32.854,NaN,NaN,NaN,34.233,33.295,NaN,32.229,NaN,33.796,NaN,NaN,NaN,33.355,NaN,33.542,NaN,NaN,NaN,NaN,32.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.992,33.082,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
